lat,lon,add,name,,
40.3886401,-79.9012262,"3113 Main Street, Munhall, PA 15120, USA",Steel Valley High School,,
40.4721899,-80.07375580000001,"1105 Valley Street, McKees Rocks, PA 15136, USA",Sto-Rox High School,,
40.3329114,-80.07073079999998,"1825 McLaughlin Run Road, Upper St. Clair, PA 15241, USA",Upper Saint Clair High School,,
40.4453536,-80.23512260000001,"205 West Allegheny Road, Imperial, PA 15126, USA",West Allegheny High School,,
40.296334,-79.9310279,"310 Old Clairton Road, Jefferson Hills, PA 15025, USA",Thomas Jefferson High School,,
40.382872,-79.87520799999999,"91 Commonwealth Avenue, West Mifflin, PA 15122, USA",West Mifflin Area High School,,
40.4438982,-79.88247209999997,"747 Wallace Avenue, Wilkinsburg, PA 15221, USA",Wilkinsburg High School,,
40.438194,-79.853632,"2550 Greensburg Pike, Pittsburgh, PA 15221, USA",Woodland Hills High School,,
40.604542,-79.47542499999997,"1825 Pennsylvania 56, Spring Church, PA 15686, USA",Apollo Ridge High School,,
40.7726309,-79.528863,"1100 4th Avenue, Ford City, PA 16226, USA",Ford City Sr High School,,
40.8315057,-79.526791,"1200 Orr Avenue, Kittanning, PA 16201, USA",Kittanning High School,,
40.791686,-79.271547,"178 Wolf Drive, Rural Valley, PA 16249, USA",West Shamokin High School,,
40.6354795,-80.45029339999996,"Lincoln Park Performing Arts Charter School, 1 Lincoln Park, Midland, PA 15059, USA",Lincoln Park Performing Arts Charter School,,
40.6534541,-80.22601529999997,"Quigley Drive, Freedom, PA 15042, USA",Quigley Catholic High School,,
40.77847999999999,-80.326458,"510 37th Street, Beaver Falls, PA 15010, USA",Beaver County Christian High School,,
40.5913672,-80.22582840000001,"909 Duss Avenue, Ambridge, PA 15003, USA",Ambridge Area High School,,
40.7078049,-80.33727820000001,"Gypsy Glen Road, Beaver, PA 15009, USA",Beaver Area High School,,
40.758148,-80.321324,"1701 8th Avenue, Beaver Falls, PA 15010, USA",Beaver Falls Area High School,,
40.7641605,-80.39837920000002,"500 Blackhawk Road, Beaver Falls, PA 15010, USA",Blackhawk High School,,
40.6612981,-80.3042519,"160 Baker Road Ext, Monaca, PA 15061, USA",Central Valley High School,,
40.5814128,-80.25793469999996,"100 Harding Avenue, Aliquippa, PA 15001, USA",Aliquippa Senior High School,,
40.677539,-80.24021200000004,"1190 Bulldog Drive, Freedom, PA 15042, USA",Freedom Area High School,,
40.5894363,-80.25286679999999,"1215 Longvue Avenue, Aliquippa, PA 15001, USA",Hopewell High School,,
40.733152,-80.29988449999996,"3202 43rd Street, New Brighton, PA 15066, USA",New Brighton Area High School,,
40.831917,-80.26047299999999,"300 Country Club Drive, Ellwood City, PA 16117, USA",Riverside High School,,
40.709478,-80.277782,"540 Reno Street, Rochester, PA 15074, USA",Rochester Area High School,,
40.569184,-80.43689999999998,"4949 Pennsylvania 151, Hookstown, PA 15050, USA",South Side High School,,
40.66846200000001,-80.42191009999999,"216 Engle Road, Industry, PA 15052, USA",Western Beaver High School,,
39.824812,-78.72832799999998,"Hyndman Middle Sr High School, 130 School Drive, Hyndman, PA 15545, USA",HOPE for Hyndman Charter School,,
40.0160627,-78.49904240000001,"330 East John Street, Bedford, PA 15522, USA",Bedford High School,,
40.1420327,-78.58233969999998,"2588 Quaker Valley Road, New Paris, PA 15554, USA",Chestnut Ridge High School,,
40.0141703,-78.3645785,"1 Renaissance Circle, Everett, PA 15537, USA",Everett Area High School,,
40.1611907,-78.37652880000002,"Loysburg, PA, USA",Northern Bedford County High School,,
40.2201575,-78.23678210000003,"199 Front Street, Saxton, PA 16678, USA",Tussey Mountain High School,,
40.494586,-78.39541229999998,"2400 Pleasant Valley Boulevard, Altoona, PA 16602, USA",Bishop Guilfoyle Catholic High School,,
40.5151572,-78.21000320000002,"William Penn Highway, Williamsburg, PA 16693, USA",Living Water Christian Sr Academy,,
40.5101921,-78.39811450000002,"1415 West 6th Avenue, Altoona, PA 16602, USA",Altoona Area High School,,
40.59559040000001,-78.33121089999997,"400 Martin Street, Bellwood, PA 16617, USA",Bellwood Antis High School,,
40.3037341,-78.44802429999999,"531 Bedford Street, Claysburg, PA 16625, USA",Claysburg Kimmel High School,,
40.4414179,-78.40053610000001,"1510 North Montgomery Street, Gallitzin, PA 16641, USA",Hollidaysburg Area High School,,
40.3111875,-78.32417950000001,"Martinsburg, PA 16662, USA",Central High School,,
40.674534,-78.24787300000003,"1001 Clay Avenue, Tyrone, PA 16686, USA",Tyrone Area High School,,
40.4610086,-78.20454619999998,"515 West 3rd Street, Williamsburg, PA 16693, USA",Williamsburg High School,,
40.8305259,-79.8113358,"Herman, PA 16039, USA",Summit Academy,,
40.8658869,-79.91916859999998,"120 Campus Lane, Butler, PA 16001, USA",Butler Area High School,,
40.7016115,-79.7198391,"625 South Pike Road, Sarver, PA 16055, USA",Freeport Area Senior High School,,
40.9876708,-79.7257467,"1446 Kittanning Pike, Karns City, PA 16041, USA",Karns City High School,,
40.6938115,-79.98452320000001,"520 Pennsylvania 228, Mars, PA 16046, USA",Mars Area High School,,
41.058881,-79.89819,"1810 West Sunbury Road, West Sunbury, PA 16061, USA",Moniteau High School,,
40.80937,-80.10653159999998,"128 Seneca School Road, Harmony, PA 16037, USA",Seneca Valley High School,,
41.0587512,-80.045256,"201 Kiester Road, Slippery Rock, PA 16057, USA",Slippery Rock Area High School,,
40.74764649999999,-79.82745990000001,"345 Knoch Road, Saxonburg, PA 16056, USA",Knoch High School,,
40.4855642,-78.73623040000001,"728 Benjamin Franklin Highway, Ebensburg, PA 15931, USA",Bishop Carroll Catholic High School,,
40.3049911,-78.9169824,"25 Osborne Street, Johnstown, PA 15905, USA",Bishop McCort Catholic High School,,
40.47765769999999,-78.83638459999997,"555 Birch Street, Nanty-Glo, PA 15943, USA",Blacklick Valley High School,,
40.6327618,-78.6276732,"426 Glendale Lake Road, Patton, PA 16668, USA",Cambria Heights High School,,
40.489877,-78.73814540000001,"204 Schoolhouse Road, Ebensburg, PA 15931, USA",Central Cambria High School,,
